DR_NO;Date Rptd;AREA NAME;Crm Cd Desc
211904005;12/31/2020 12:00:00 AM;Mission    ;BATTERY - SIMPLE ASSAULT                                
221908151;04/12/2022 12:00:00 AM;Mission    ;SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH 
231907172;03/21/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
231915767;10/25/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
231906599;03/03/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
231912127;07/26/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221917823;12/12/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221909318;05/09/2022 12:00:00 AM;Mission    ;BURGLARY FROM VEHICLE                                   
221917253;11/25/2022 12:00:00 AM;Mission    ;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER)         
221905982;02/20/2022 12:00:00 AM;Mission    ;VIOLATION OF RESTRAINING ORDER                          
231905726;02/08/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
231905565;02/06/2023 12:00:00 AM;Mission    ;INTIMATE PARTNER - SIMPLE ASSAULT                       
221908420;04/15/2022 12:00:00 AM;Mission    ;CHILD ANNOYING (17YRS & UNDER)                          
231906446;02/28/2023 12:00:00 AM;Mission    ;CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT                 
231906802;03/09/2023 12:00:00 AM;Mission    ;BURGLARY                                                
221913440;08/20/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221912723;08/02/2022 12:00:00 AM;Mission    ;DOCUMENT FORGERY / STOLEN FELONY                        
221907310;03/21/2022 12:00:00 AM;Mission    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
221916942;11/15/2022 12:00:00 AM;Mission    ;ORAL COPULATION                                         
221916382;11/02/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221907738;04/01/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
241904532;12/19/2023 12:00:00 AM;Mission    ;SEXUAL PENETRATION W/FOREIGN OBJECT                     
221905893;02/15/2022 12:00:00 AM;Mission    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
231911608;07/14/2023 12:00:00 AM;Mission    ;ORAL COPULATION                                         
221916140;10/25/2022 12:00:00 AM;Mission    ;CHILD ANNOYING (17YRS & UNDER)                          
221911806;07/10/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221907753;04/01/2022 12:00:00 AM;Mission    ;RAPE, FORCIBLE                                          
221916426;11/02/2022 12:00:00 AM;Mission    ;THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD
221908403;04/18/2022 12:00:00 AM;Mission    ;VANDALISM - MISDEAMEANOR ($399 OR UNDER)                
221915597;10/11/2022 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
221908685;04/25/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221913658;08/24/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221912089;07/13/2022 12:00:00 AM;Mission    ;SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ
221915337;10/05/2022 12:00:00 AM;Mission    ;RAPE, FORCIBLE                                          
221917036;11/03/2022 12:00:00 AM;Mission    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
231910853;06/24/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221916494;11/02/2022 12:00:00 AM;Mission    ;EXTORTION                                               
221916131;10/26/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221917878;12/13/2022 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
221918167;12/20/2022 12:00:00 AM;Mission    ;BURGLARY FROM VEHICLE                                   
221906797;03/10/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
201909255;04/29/2020 12:00:00 AM;Mission    ;VEHICLE - STOLEN                                        
231907171;03/21/2023 12:00:00 AM;Mission    ;CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER)
231916568;11/13/2023 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
231907935;04/11/2023 12:00:00 AM;Mission    ;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 
201909450;05/05/2020 12:00:00 AM;Mission    ;ARSON                                                   
221912349;07/11/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221916217;10/28/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221912361;07/24/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
221907277;03/21/2022 12:00:00 AM;Mission    ;LETTERS, LEWD  -  TELEPHONE CALLS, LEWD                 
231905574;02/07/2023 12:00:00 AM;Mission    ;BURGLARY FROM VEHICLE                                   
221906061;02/19/2022 12:00:00 AM;Mission    ;THEFT OF IDENTITY                                       
231905889;02/13/2023 12:00:00 AM;Mission    ;ROBBERY                                                 
